State,Number
Andhra Pradesh,223
Arunachal Pradesh,96
Assam,186
Chandigarh,189
Delhi,247
Goa,199
Gujarat,195
Haryana,222
Himachal Pradesh,202
Jammu and Kashmir,135
Karnataka,201
Kerala,210
Madhya Pradesh,234
Maharashtra,235
Manipur,176
Meghalaya,131
Mizoram,160
Nagaland,140
Puducherry,142
Punjab,244
Rajasthan,220
Sikkim,101
Tamil Nadu,206
Telangana,246
Tripura,185
Uttar Pradesh,198
Uttarakhand,151
West Bengal,193
