x,Military,Individual,Others_etc
2017-1Q,0,0,0
2017-2Q,0,0,0
2017-3Q,0,1,0
2017-4Q,0.333333333,1,0
2018-1Q,0,0,0
2018-2Q,0,0.25,0.5
2018-3Q,0,0,0
2018-4Q,1,0,0
2019-1Q,0,0,0
2019-2Q,0,0,0
2019-3Q,0,0,0
2019-4Q,0,0,0
2020-1Q,0,0.2,0.666666667
2020-2Q,0,1,1
2020-3Q,0,0.5,0
2020-4Q,0,0.666666667,1
2021-1Q,0,1,0
2021-2Q,0,0,0
2021-3Q,0,1,0
