x,Deal
Fitness,115
Others_Others Corporate,16
Clinic,18
Others_Individual,4
Hotel,4
Private Enterprise,28
Hospital,50
Others_Aesthetic,6
Others_etc,2
Public Association,2
Military,1
Academic,1
