x,Academic,Private Enterprise,Hotel
2017-1,0.0,0.2857142857142857,0.0
2017-2,0.0,0.07692307692307693,0.6
2017-3,0.3333333333333333,0.11538461538461539,0.2
2017-4,0.18518518518518517,0.21428571428571427,0.0
2018-1,0.21052631578947367,0.15384615384615385,0.75
2018-2,0.7777777777777778,0.29411764705882354,0.2
2018-3,0.2857142857142857,0.6363636363636364,0.5
2018-4,0.30434782608695654,0.45454545454545453,0.0
2019-1,0.16666666666666666,0.47058823529411764,0.0
2019-2,0.3,0.3235294117647059,0.125
2019-3,0.13636363636363635,0.21428571428571427,0.23076923076923078
2019-4,0.016574585635359115,0.18085106382978725,0.006134969325153374
2020-1,0.5,0.3333333333333333,0.0
2020-2,0.5,0.6666666666666666,0.0
2020-3,0.0,0.6470588235294118,0.0
2020-4,0.6666666666666666,0.47368421052631576,0.0
2021-1,0.2727272727272727,0.3888888888888889,0.0
2021-2,0.027777777777777776,0.56,0.0
2021-3,0.0,0.7777777777777778,0.0
