x,y
2017-1,608270.4400000001
2017-2,443481.13
2017-3,337264.15
2017-4,433962.26
2017-5,254716.98
2017-6,128107.4475
2017-7,20322.04
2017-8,383035.48
2017-9,489764.875
2017-10,490660.8725
2017-11,625014.8766666666
2017-12,241071.43
2018-1,351123.6866666667
2018-2,59409.8175
2018-3,150077.38
2018-4,201742.01555555558
2018-5,249554.08285714287
2018-6,149573.019375
2018-7,176829.29466666665
2018-8,92631.5975
2018-9,21994.75797101449
2018-10,79163.773125
2018-11,225869.8775
2018-12,209481.31923076924
2019-1,114948.85714285714
2019-2,31538.75
2019-3,136936.0
2019-4,75646.46666666666
2019-5,78883.83333333333
2019-6,134648.625
2019-7,75301.0
2019-8,87172.41176470589
2019-9,103914.6
2019-10,118596.0
2019-11,101154.75
2019-12,118334.39285714286
2020-1,71746.42856847
2020-2,92360.22833966668
2020-3,39235.41666813333
2020-4,0.0
2020-5,558035.7141428501
2020-6,32531.510835257148
2020-7,0.0
2020-8,233321.42857666666
2020-9,133011.9047557
2020-10,8000.0
2020-11,25217.3913
2020-12,98833.33333638667
2021-1,63064.181818181816
2021-2,76131.0
2021-3,38302.0
2021-4,47317.11111111111
2021-5,210158.5
2021-6,92708.33333333333
2021-7,105535.16666666667
