State,Number
 Thaltej,1
79.5580178,1
Andhra Pradesh,160
Arunachal Pradesh,97
Assam,194
Chandigarh,171
Delhi,264
Goa,176
Gujarat,225
Haryana,192
Himachal Pradesh,214
Jammu and Kashmir,139
Karnataka,204
Kerala,230
Madhya Pradesh,277
Maharashtra,237
Manipur,176
Meghalaya,71
Mizoram,150
Nagaland,162
Puducherry,137
Punjab,276
Rajasthan,295
Sikkim,68
Tamil Nadu,240
Telangana,293
Tripura,148
Uttar Pradesh,196
Uttarakhand,191
West Bengal,197
