x,y
2017-1,0.0
2017-2,0.4
2017-3,0.3333333333333333
2017-4,0.5
2017-5,0.16666666666666666
2017-6,0.0
2017-7,1.0
2017-8,0.3333333333333333
2017-9,0.56
2017-10,0.4782608695652174
2017-11,0.25
2017-12,0.2727272727272727
2018-1,0.0
2018-2,0.2857142857142857
2018-3,0.06976744186046512
2018-4,0.2222222222222222
2018-5,0.29411764705882354
2018-6,0.19230769230769232
2018-7,0.34375
2018-8,0.5
2018-9,0.4444444444444444
2018-10,0.42857142857142855
2018-11,0.5454545454545454
2018-12,0.0
2019-1,0.2857142857142857
2019-2,0.23076923076923078
2019-3,0.3333333333333333
2019-4,0.26666666666666666
2019-5,0.5384615384615384
2019-6,0.75
2019-7,0.21052631578947367
2019-8,0.375
2019-9,0.6666666666666666
2019-10,0.3333333333333333
2019-11,0.08695652173913043
2019-12,0.27586206896551724
2020-1,0.3076923076923077
2020-2,0.2857142857142857
2020-3,0.45454545454545453
2020-4,0.0
2020-5,0.5
2020-6,0.2
2020-7,1.0
2020-8,0.0
2020-9,0.0
2020-10,0.42857142857142855
2020-11,0.3
2020-12,0.47058823529411764
2021-1,0.25
2021-2,0.4166666666666667
2021-3,0.4782608695652174
2021-4,0.25
2021-5,0.5
2021-6,0.2
2021-7,0.5
