Company_Name,Category,Address,Url,Latitude,Longitude,State,Territory
The Art of Living Yoga Centre Oyan,Fitness center,"V8M8+MHH, Sile, Arunachal Pradesh 791102, India",https://www.google.co.kr/maps/place/The+Art+of+Living+Yoga+Centre+Oyan/data=!4m5!3m4!1s0x373f9f5d7a076f5f:0xee4ddf858c5ed998!8m2!3d27.8841984!4d95.3164823?authuser=0&hl=en&rclk=1,27.8841984,95.3164823,Arunachal Pradesh,East
WAII International fitness centre,Gym,"Near VIP Road, Cona County, Shannan, 791111",https://www.google.co.kr/maps/place/WAII+International+fitness+centre/data=!4m5!3m4!1s0x37440783ed87c6fb:0x3aa2801f8a14c532!8m2!3d27.0946056!4d93.6153204?authuser=0&hl=en&rclk=1,27.0946056,93.6153204,Arunachal Pradesh,East
"VIGEN India Centre, Itanagar",Gym,"3JX8+WFC, Niti Vihar, Sultanpuri, Deli, Delhi 791111","https://www.google.co.kr/maps/place/VIGEN+India+Centre,+Itanagar/data=!4m5!3m4!1s0x374407a3dadf059f:0xb3da508a985d5c12!8m2!3d27.0998191!4d93.6161488?authuser=0&hl=en&rclk=1",27.0998191,93.6161488,Arunachal Pradesh,East
CK Bliss,Yoga studio,"F sector, near Green Mount School, Itanagar, Arunachal Pradesh 791113",https://www.google.co.kr/maps/place/CK+Bliss/data=!4m5!3m4!1s0x374407b04c7296db:0xeda59996e11039f4!8m2!3d27.0893874!4d93.6100135?authuser=0&hl=en&rclk=1,27.0893874,93.6100135,Arunachal Pradesh,East
The Red Lion's Gym,Gym,"MV9J+2F9, 2nd Mile, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/The+Red+Lion's+Gym/data=!4m5!3m4!1s0x373efbe7368aab0f:0x92e5671dcbb6d1c6!8m2!3d27.6675319!4d95.881223?authuser=0&hl=en&rclk=1,27.6675319,95.881223,Arunachal Pradesh,East
hasmukh Play Ground,Gym,"C2FH+QCQ, Oil India Housing Complex, Arunachal Pradesh 792122, India",https://www.google.co.kr/maps/place/hasmukh+Play+Ground/data=!4m5!3m4!1s0x373eebb5c44553a7:0xbce42f7fdad51d19!8m2!3d27.4244719!4d96.0286232?authuser=0&hl=en&rclk=1,27.4244719,96.0286232,Arunachal Pradesh,East
Dhamala Gym Centre,Gym,"Phillobari, bijulibon, Mailapung No.1, Assam 786160, India",https://www.google.co.kr/maps/place/Dhamala+Gym+Centre/data=!4m5!3m4!1s0x373ee14ea183d4f5:0x23671fe8d0842138!8m2!3d27.5164552!4d95.7391606?authuser=0&hl=en&rclk=1,27.5164552,95.7391606,Arunachal Pradesh,East
Dhama Aruna vipasanna center,Gym,"HX57+Q3P, Piyong, Arunachal Pradesh 792103, India",https://www.google.co.kr/maps/place/Dhama+Aruna+vipasanna+center/data=!4m5!3m4!1s0x373eef6d0157d59f:0xedf8776b9676fb9d!8m2!3d27.559457!4d95.9627025?authuser=0&hl=en&rclk=1,27.559457,95.9627025,Arunachal Pradesh,East
Shape up aerobic studio,Gym,"NH415, 791111",https://www.google.co.kr/maps/place/Shape+up+aerobic+studio/data=!4m5!3m4!1s0x37440717602088ab:0x4459fb6dd801b552!8m2!3d27.0747107!4d93.5929735?authuser=0&hl=en&rclk=1,27.0747107,93.5929735,Arunachal Pradesh,East
"RANGFRAA MANDIR, Longkom Ponthai",Gym,"P.o-Bordumsa, Dist, Chsnglang, Arunachal Pradesh 792056, India","https://www.google.co.kr/maps/place/RANGFRAA+MANDIR,+Longkom+Ponthai/data=!4m5!3m4!1s0x373ee9c02cea0681:0x733e4ed61e4f319a!8m2!3d27.4588878!4d95.9238433?authuser=0&hl=en&rclk=1",27.4588878,95.9238433,Arunachal Pradesh,East
SAI SAG Center,Gym,"Youth Hostel Road, Naharlagun",https://www.google.co.kr/maps/place/SAI+SAG+Center/data=!4m5!3m4!1s0x3744008ba1d19591:0xa72633005fbbd2b!8m2!3d27.104664!4d93.6991287?authuser=0&hl=en&rclk=1,27.104664,93.6991287,Arunachal Pradesh,East
Fitness Gym,Gym,"near uco bank, Udalguri, India",https://www.google.co.kr/maps/place/Fitness+Gym/data=!4m5!3m4!1s0x375b14e59eb743a3:0xd956706e44c209af!8m2!3d26.7492764!4d92.0969484?authuser=0&hl=en&rclk=1,26.7492764,92.0969484,Arunachal Pradesh,East
Satin credit care network Ltd,Gym,"Balipara-Old Missamari Rd, Missamari, Assam 784506, India",https://www.google.co.kr/maps/place/Satin+credit+care+network+Ltd/data=!4m5!3m4!1s0x3744b78484ec5a51:0xa1e960b6d18647fe!8m2!3d26.8114511!4d92.6031214?authuser=0&hl=en&rclk=1,26.8114511,92.6031214,Arunachal Pradesh,East
"Daroon Gym, Rowta",Gym,"Maibra Gym, Rowta, Assam 784508, India","https://www.google.co.kr/maps/place/Daroon+Gym,+Rowta/data=!4m5!3m4!1s0x375b3f2648fccf37:0x8946137348d68b60!8m2!3d26.7141154!4d92.2001275?authuser=0&hl=en&rclk=1",26.7141154,92.2001275,Arunachal Pradesh,East
Duliajan Powerhouse Gym,Gym,"Station Road, behind Duarah Medicine Centre, Bordubi No.1, Assam 786602, India",https://www.google.co.kr/maps/place/Duliajan+Powerhouse+Gym/data=!4m5!3m4!1s0x373f4157ce82075d:0xb15a68184dcedbd5!8m2!3d27.3596254!4d95.3067579?authuser=0&hl=en&rclk=1,27.3596254,95.3067579,Arunachal Pradesh,East
Ananta Multi Gym,Gym,"MHVH+H43, Teachers Colony, Thelamara, Assam 784149, India",https://www.google.co.kr/maps/place/Ananta+Multi+Gym/data=!4m5!3m4!1s0x3744c9f9f38bd8ef:0x34fd7bb672e7eed4!8m2!3d26.6938765!4d92.5777869?authuser=0&hl=en&rclk=1,26.6938765,92.5777869,Arunachal Pradesh,East
Krisno Gym Multi Iron,Gym,"M8XJ+CFP, Garubandha Khankhala B, Assam 784114, India",https://www.google.co.kr/maps/place/Krisno+Gym+Multi+Iron/data=!4m5!3m4!1s0x375b377adea1f4b9:0x44859c9e51c4dd82!8m2!3d26.698578!4d92.3312094?authuser=0&hl=en&rclk=1,26.698578,92.3312094,Arunachal Pradesh,East
Bechimari Gym,Gym,"J5GG+6XF, Besimari, Assam 784514, India",https://www.google.co.kr/maps/place/Bechimari+Gym/data=!4m5!3m4!1s0x375b3d1b228c7fef:0xdce7b6a951e23580!8m2!3d26.6255662!4d92.1774365?authuser=0&hl=en&rclk=1,26.6255662,92.1774365,Arunachal Pradesh,East
Nimas Water Sports,Sports complex,"Chariduar - Tawang Rd, Cona, Shannan, Arunachal Pradesh 790101",https://www.google.co.kr/maps/place/Nimas+Water+Sports/data=!4m5!3m4!1s0x375cbb6fc63a480d:0x71949db7dcdade6e!8m2!3d27.3778553!4d92.2352993?authuser=0&hl=en&rclk=1,27.3778553,92.2352993,Arunachal Pradesh,East
