x,Academic,Private Enterprise,Hotel
2017-1Q,0.0,14.285714285714285,0.0
2017-2Q,0.0,2.564102564102564,0.0
2017-3Q,33.33333333333333,7.6923076923076925,0.0
2017-4Q,0.0,7.142857142857142,0.0
2018-1Q,5.263157894736842,0.0,50.0
2018-2Q,33.33333333333333,8.823529411764707,0.0
2018-3Q,14.285714285714285,27.27272727272727,0.0
2018-4Q,0.0,27.27272727272727,0.0
2019-1Q,0.0,23.52941176470588,0.0
2019-2Q,0.0,23.529411764705884,0.0
2019-3Q,4.545454545454545,14.285714285714285,2.564102564102564
2019-4Q,0.0,10.638297872340427,0.0
2020-1Q,0.0,21.839080459770113,0.0
2020-2Q,0.0,16.666666666666664,0.0
2020-3Q,0.0,35.29411764705882,0.0
2020-4Q,0.0,34.210526315789465,0.0
2021-1Q,4.545454545454545,20.370370370370374,0.0
2021-2Q,0.0,32.0,0.0
2021-3Q,0.0,33.33333333333333,0.0
