State,Number
Andhra Pradesh,193
Arunachal Pradesh,36
Assam,252
Chandigarh,159
Delhi,209
Goa,190
Gujarat,213
Haryana,246
Himachal Pradesh,224
Jammu and Kashmir,178
Karnataka,246
Kerala,244
Madhya Pradesh,200
Maharashtra,155
Manipur,151
Meghalaya,66
Mizoram,115
Nagaland,116
Puducherry,142
Punjab,198
Rajasthan,195
Sikkim,111
Tamil Nadu,221
Telangana,279
Tripura,111
Uttar Pradesh,151
Uttarakhand,178
West Bengal,214
